FID	IID	PalmiticAcid	LinoleicAcid	AlphaLinolenicAcid	OleicAcid
PI-450831	PI-450831	0.108321885929215	-0.247439855340402	0.031339947450795	-0.642548638808551
W6-26040	W6-26040	-0.0398832444813436	-3.36718353527163	2.61455728833034	0.4317171237539
W6-26041	W6-26041	-0.888058218661413	2.90133800729974	3.86795432060977	-0.542497139250049
W6-26042	W6-26042	0.229607160887805	3.57853541688665	7.2104874153687	0.0127273767474001
W6-26043	W6-26043	2.40489612070025	1.09332549219999	4.08308157326677	-2.05992881895929
W6-26044	W6-26044	-0.759123262115722	-3.7274679075516	-4.05199300068281	0.631376521876509
W6-26045	W6-26045	0.122834875377835	-3.37429281699445	1.41546269280297	-2.02056650205976
W6-26046	W6-26046	-0.301674006617108	-2.3731670436443	-9.77401685906754	-0.221003543460412
W6-26047	W6-26047	-2.2170731825087	11.9314771493691	0.798851986852791	-0.212495472521284
W6-26048	W6-26048	2.25703821261178	5.55358225551349	-3.89420338799224	1.64714645041537
W6-26049	W6-26049	0.861851918731255	-1.13674158894571	5.50516898444185	0.21522447228567
PI-215702	PI-215702	-0.342762830093134	0.898540167461148	1.09628553443542	-2.99763456947718
PI-450953	PI-450953	-0.130250652353932	2.19967827494234	-14.0771244287988	-0.633588372342071
W6-26050	W6-26050	0.0139190203368795	-0.359353708488733	11.0854605112949	-1.1603115145457
Sierra	Sierra	0.0441223419002342	-5.05377823026744	0.594105932528032	0.653086081353454
Nash	Nash	0.496991668029523	-0.60941127225424	-5.68401061743148	-0.64927160315996
Billy-Beans	Billy-Beans	-0.092396686688619	6.29874083881892	-7.54555558423785	1.45266313966056
CA0790B0043C-	CA0790B0043C-	-0.550566100492047	-5.0924658685954	-1.60001762003	-0.961973647757139
CA0790B0547C-	CA0790B0547C-	-1.76353018923555	0.138241948386366	-0.540849969145915	-0.404683683924335
CA0890B0429C-	CA0890B0429C-	0.132099831018223	-0.0216541721961431	-3.38339948657364	-0.390006570849977
CA13900023C	CA13900023C	1.184544420973	2.49251411388294	-0.272545153976514	0.509201286239565
CA13900046C-	CA13900046C-	-1.2879869295511	-4.13310160345221	-0.192854639175101	-0.276789385330453
CA13900049C-	CA13900049C-	-0.214335755075081	-1.12671528900102	1.05899595871811	-0.0933847040701998
PI-451043	PI-451043	-0.527650458948179	-9.28089759370712	0.633884887543615	-0.141823166350245
CA13900119C-	CA13900119C-	0.33382686266627	-4.68540236479524	9.1302627567217	0.21850174529987
CA13900129C	CA13900129C	0.421739887915684	3.02687578718291	4.17117802431249	-0.59947074025773
CA13900139C-	CA13900139C-	0.0284825311477027	14.3412339059033	-0.463722108388397	-1.74064036346876
